"longitude","latitude","all_spp_cpue_2020_std","bathymetry_2020_std","bottom_temperature_2020_std","surface_net_primary_production_2020_std","fishing_activity_hours_2020_std","ship_density_route_2020_std","bottom_salinity_2020_std","bottom_dissolved_oxygen_2020_inv_std","dumping_site_2020","military_area_2020","wind_farm_2020","bedrock_seabed_2020","hard_bottom_seabed_2020","distance_class","distance_class_interpretation"
14.67765369,55.04932413,-0.526832222,-1.007350727,0.936817126,-0.081186187,0.869511818,0.024520682,-0.725272734,-0.832404533,1,0,1,1,0,3,"medium risk"
14.57765369,54.94932413,-0.526832222,-0.872178355,1.042508589,-0.138359769,-0.410491226,-0.343706246,-0.753607294,-0.846295531,0,0,0,1,0,3,"medium risk"
14.67765369,54.94932413,-0.60671882,-0.942380288,1.063812884,-0.118924681,-0.229725477,-0.273097783,-0.760110818,-0.858113209,0,0,0,1,0,3,"medium risk"
12.87765369,55.54932413,0.604383499,-1.348426956,1.488262373,0.071328987,-0.519577311,-0.354335476,-0.202826611,-0.774507015,0,0,0,1,0,3,"medium risk"
14.27765369,54.74932413,-0.506235612,-0.972458746,0.970960302,0.04037334,-0.408029435,-0.389260092,-0.764547702,-0.856253498,0,1,0,0,1,8,"medium risk"
10.77765369,54.44932413,-0.766838593,-1.06557312,1.440058,-0.229172208,-0.509314523,-0.376353169,0.585573856,-0.523094642,0,1,0,0,1,14,"medium risk"
14.47765369,53.74932413,-0.750112642,-1.355467207,1.582995352,4.516596277,-0.509090723,-0.393815477,-1.787365574,-0.932851483,0,0,0,0,1,13,"low risk"
10.87765369,54.44932413,-0.72421573,-1.168473481,1.443023286,-0.169659839,-0.333280523,-0.377871631,0.400603526,-0.662555306,0,1,0,0,1,8,"medium risk"
10.07765369,54.74932413,-0.624572565,-0.700661619,0.900008341,-0.169834317,0.695364196,-0.361927784,0.771730276,-0.222097509,0,0,0,0,1,16,"medium risk"
16.47765369,54.74932413,-0.595819904,-0.231817553,-0.039320015,-0.179051517,-0.463819359,1.549056084,-0.740746654,-0.705093088,0,1,0,0,1,15,"medium risk"
11.87765369,57.24932413,-0.749764618,0.772102216,0.242880591,-0.372940793,2.299364517,-0.379390092,2.488499305,-0.290957265,0,0,0,0,1,24,"medium risk"
20.77765369,56.44932413,-0.256438993,-0.880447545,0.535768096,-0.103505266,-0.518969856,-0.302707784,-0.8924493,-0.91290547,0,1,0,0,1,23,"medium risk"
15.57765369,54.24932413,-0.612695978,-1.065811719,0.580000935,1.444612914,-0.189505581,-0.336113938,-0.778233963,-0.814202627,0,0,0,0,1,22,"medium risk"
10.07765369,54.54932413,-0.605908014,-0.747403153,1.179031647,-0.048661652,-0.293060621,-0.301189322,0.762313521,-0.107345908,0,1,0,0,1,14,"medium risk"
11.77765369,54.44932413,-0.684442224,-0.808075047,1.167249203,-0.038764915,-0.503975314,-0.039254704,0.420937544,-0.483271645,0,1,0,0,1,14,"medium risk"
10.07765369,54.64932413,-0.589840257,-0.942569472,1.198081404,-0.099787502,0.492825993,-0.350539323,0.671962888,-0.402068462,0,1,0,0,1,16,"medium risk"
