"centroid_id","cod_cpue_2020_std","cod_cpue_2020_std_label","bathymetry_2020_std","bathymetry_2020_std_label","bottom_temperature_2020_std","bottom_temperature_2020_std_label","surface_net_primary_production_2020_std","surface_net_primary_production_2020_std_label","fishing_activity_hours_2020_std","fishing_activity_hours_2020_std_label","ship_density_route_2020_std","ship_density_route_2020_std_label","bottom_salinity_2020_std","bottom_salinity_2020_std_label","bottom_dissolved_oxygen_2020_inv_std","bottom_dissolved_oxygen_2020_inv_std_label","dumping_site_2020","dumping_site_2020_label","military_area_2020","military_area_2020_label","wind_farm_2020","wind_farm_2020_label","bedrock_seabed_2020","bedrock_seabed_2020_label","hard_bottom_seabed_2020","hard_bottom_seabed_2020_label","risk_level"
1,0.168722274961925,"H",0.873997290792936,"H",-0.789182161591199,"L",0.114728318748975,"H",6.69891940166474,"H",-0.188190474494525,"M",-0.0531006702752329,"M",0.0902125165700116,"M",0,"M",0.333333333333333,"H",0,"M",0,"M",0,"M","medium risk"
2,2.83563562645501,"H",-1.03149688993246,"L",1.23401857530722,"H",0.0623202644326621,"H",-0.251034349982225,"M",0.559561457361405,"H",0.960414395600925,"H",-0.382839278608396,"L",0,"M",0,"M",0,"M",0.0714285714285714,"H",0,"M","high risk"
3,-0.273771423718131,"M",0.438161764010357,"M",-1.07359201964245,"L",0.302156363321268,"H",2.6007809314447,"H",-0.250077905990347,"M",-0.675298457084418,"L",-0.266348492361124,"M",0,"M",0.04,"H",0,"M",0,"M",0,"M","medium risk"
4,7.19759658042942,"H",0.44085600988758,"M",-0.396342786953566,"L",-0.142006618129412,"M",-0.320302846236407,"M",0.382181647586564,"H",0.0723345955221826,"M",0.305702377622192,"M",0.0833333333333333,"H",0.0833333333333333,"H",0,"M",0,"M",0,"M","medium risk"
5,0.756541705134924,"H",1.39105910264296,"H",-0.298029191417534,"L",-0.251739591709837,"L",0.430222596370038,"H",-0.29255658683095,"M",0.186159674660029,"M",1.3812184052636,"H",0.925925925925926,"H",0.722222222222222,"H",0,"M",0,"M",0,"M","high risk"
6,-0.112625885801231,"M",-0.859829907766056,"L",0.554672263352781,"M",0.165025816590994,"H",-0.410946497104434,"M",-0.297863891166764,"M",-0.777033153941353,"L",-0.813654152967803,"L",0.02,"H",1,"H",0.02,"H",0,"M",0.24,"H","medium risk"
7,-0.344201184155487,"M",1.14967584103544,"H",-1.32856029680363,"L",-0.311450486764948,"L",-0.416350816467131,"M",-0.239344321248944,"M",-0.461980130414168,"L",1.11254108646583,"H",0.0531914893617021,"H",0.0106382978723404,"H",0,"M",0,"M",0,"M","medium risk"
8,-0.380052164642455,"L",-0.827415252782863,"L",1.08944930948765,"H",-0.158433960380316,"M",-0.0384852714661875,"M",-0.28320340664451,"M",0.804313019925464,"H",-0.262199751125631,"M",0.0344827586206897,"H",1,"H",0,"M",0,"M",0,"M","medium risk"
9,-0.420617483651004,"L",-1.10233878838533,"L",1.36120279975616,"H",0.0570194727771507,"H",-0.425965336346221,"L",-0.255773517246027,"M",0.226628488948164,"M",-0.642073925718523,"L",0,"M",0,"M",0,"M",0,"M",1,"H","medium risk"
10,-0.0539784535562097,"M",-0.554325504729469,"L",0.00897232638378851,"L",-0.0594232209095098,"M",-0.342584583025447,"M",-0.308656693046155,"M",-0.799185756459877,"L",-0.80226466463642,"L",0,"M",0,"M",0.0506329113924051,"H",0,"M",0,"M","medium risk"
11,-0.324026817497758,"M",-1.39860475389291,"L",1.14732436700709,"H",9.13455149719487,"H",-0.521591502617178,"L",-0.392866438435991,"L",-1.75679517533755,"L",-1.01894441346941,"L",0,"M",0,"M",0,"M",0,"M",0,"M","medium risk"
12,-0.409903697951778,"L",2.51773747412977,"H",-1.14489393479404,"L",-0.414688833193209,"L",-0.492883993926428,"L",-0.241565475121175,"M",-0.282692678596004,"M",3.3011516489864,"H",0.425531914893617,"H",0.106382978723404,"H",0.0638297872340425,"H",0,"M",0,"M","high risk"
13,-0.118223832363343,"M",-0.0200477594248993,"M",-0.959914166096473,"L",-0.260419541077449,"L",-0.400540956842483,"M",-0.293084533418344,"M",-0.743516356895748,"L",-0.545237773471492,"L",0.1,"H",0.1,"H",1,"H",0,"M",0,"M","medium risk"
14,-0.389967860505809,"L",1.76559496076943,"H",-1.07157141138221,"L",-0.289410945610549,"L",-0.197267818362317,"M",-0.270611806299499,"M",-0.34539975543864,"L",2.09431518432533,"H",0.132743362831858,"H",0.0265486725663717,"H",0,"M",0,"M",0,"M","medium risk"
15,-0.415650251311942,"L",-0.959198816050798,"L",1.29039123861968,"H",-0.0764121468911267,"M",0.0407997077882856,"H",-0.292268360331839,"M",0.50495583473862,"H",-0.437897709324552,"L",0,"M",1,"H",0,"M",0,"M",1,"H","medium risk"
